,ranks,title,no_of_reviews,ratings,author,cover_type,year
0,1,The Lost Symbol,"16,129",4.4,Dan Brown,Hardcover,2009
1,2,The Shack: Where Tragedy Confronts Eternity,"23,398",4.7,William P. Young,Paperback,2009
2,3,Liberty and Tyranny: A Conservative Manifesto,"5,037",4.8,Mark R. Levin,Hardcover,2009
3,4,"Breaking Dawn (The Twilight Saga, Book 4)","16,923",4.7,Stephenie Meyer,Hardcover,2009
4,5,Going Rogue: An American Life,"1,572",4.6,Sarah Palin,Hardcover,2009
5,6,StrengthsFinder 2.0,,4.1,,Hardcover,2009
6,7,The Help,"18,080",4.8,Kathryn Stockett,Hardcover,2009
7,8,New Moon (The Twilight Saga),"12,336",4.7,Stephenie Meyer,Paperback,2009
8,9,The Twilight Saga Collection,"6,103",4.7,Stephenie Meyer,Hardcover,2009
9,10,Outliers: The Story of Success,"22,224",4.7,Malcolm Gladwell,Hardcover,2009
10,11,Eclipse (Twilight),"12,781",4.7,Stephenie Meyer,Hardcover,2009
11,12,"Twilight (The Twilight Saga, Book 1)","22,117",4.7,Stephenie Meyer,Paperback,2009
12,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","1,421",4.6,Glenn Beck,Paperback,2009
13,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,"3,498",4.4,Greg Mortenson,Paperback,2009
14,15,The Love Dare,"3,303",4.8,Stephen Kendrick,Paperback,2009
15,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","7,044",4.6,Steve Harvey,Hardcover,2009
16,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","7,982",4.7,Jeff Kinney,Hardcover,2009
17,18,Under the Dome: A Novel,"9,117",4.4,Stephen King,Hardcover,2009
18,19,The Guernsey Literary and Potato Peel Pie Society,"14,898",4.7,Mary Ann Shaffer,Paperback,2009
19,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,930,4.5,David Zinczenko,Paperback,2009
20,21,Arguing with Idiots: How to Stop Small Minds and Big Government,895,4.6,Glenn Beck,Hardcover,2009
21,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","7,578",4.8,Julia Child,Hardcover,2009
22,23,Sookie Stackhouse,995,4.7,Charlaine Harris,Mass Market Paperback,2009
23,24,The Time Traveler's Wife,"6,600",4.5,Audrey Niffenegger,Paperback,2009
24,25,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association,Paperback,2009
25,26,True Compass: A Memoir,509,4.5,Edward M. Kennedy,Hardcover,2009
26,27,The Girl with the Dragon Tattoo (Millennium Series),"15,479",4.5,Stieg Larsson,Paperback,2009
27,28,The 5000 Year Leap,"2,566",4.8,W. Cleon Skousen,Paperback,2009
28,29,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,807",4.5,Jim Collins,Hardcover,2009
